,source,target,weight
0,0,1,0.9
1,0,2,0.9
2,0,26,0.90025
3,0,155,0.90037
4,0,158,0.9
5,0,192,0.90025
6,0,425,0.90605
7,0,426,0.90605
8,0,579,0.90037
9,0,580,0.90037
10,0,581,0.90037
11,0,582,0.90037
12,0,583,0.90037
13,0,846,0.9
14,0,934,0.9
15,0,935,0.9
16,0,936,0.9
17,0,1000,0.90222
18,0,1016,0.93047
19,0,1230,0.90605
20,0,1234,0.90286
21,0,1235,0.90286
22,0,1263,0.9
23,0,1264,0.9
24,0,1308,0.9
25,0,1726,0.90222
26,0,1959,0.90271
27,1,0,0.9
28,1,2,0.9
29,1,26,0.90025
30,1,155,0.90037
31,1,158,0.9
32,1,192,0.90025
33,1,425,0.90605
34,1,426,0.90605
35,1,579,0.90037
36,1,580,0.90037
37,1,581,0.90037
38,1,582,0.90037
39,1,583,0.90037
40,1,846,0.9
41,1,934,0.9
42,1,935,0.9
43,1,936,0.9
44,1,1000,0.90222
45,1,1016,0.93047
46,1,1230,0.90605
47,1,1234,0.90286
48,1,1235,0.90286
49,1,1263,0.9
50,1,1264,0.9
51,1,1308,0.9
52,1,1726,0.90222
53,1,1959,0.90271
54,2,0,0.9
55,2,1,0.9
56,2,26,0.90025
57,2,155,0.90037
58,2,158,0.9
59,2,192,0.90025
60,2,425,0.90605
61,2,426,0.90605
62,2,579,0.90037
63,2,580,0.90037
64,2,581,0.90037
65,2,582,0.90037
66,2,583,0.90037
67,2,846,0.9
68,2,934,0.9
69,2,935,0.9
70,2,936,0.9
71,2,1000,0.90222
72,2,1016,0.93047
73,2,1230,0.90605
74,2,1234,0.90286
75,2,1235,0.90286
76,2,1263,0.9
77,2,1264,0.9
78,2,1308,0.9
79,2,1726,0.90222
80,2,1959,0.90271
81,3,5,0.9
82,3,6,0.9
83,3,383,0.91783
84,3,1785,0.92059
85,3,1786,0.9151
86,4,7,0.90271
87,4,9,0.90493
88,4,25,0.9025
89,4,115,0.92249
90,4,129,0.9025
91,4,169,0.9116899999999999
92,4,170,0.91155
93,4,446,0.9218500000000001
94,4,447,0.92249
95,4,466,0.90271
96,4,498,0.9393400000000001
97,4,738,0.9025
98,4,770,0.91442
99,4,889,0.90493
100,4,898,0.90679
101,4,1027,0.9025
102,4,1077,0.91268
103,4,1107,0.9218500000000001
104,4,1185,0.90295
105,4,1186,0.9025
106,4,1210,0.9112100000000001
107,4,1211,0.90059
108,4,1228,0.91803
109,4,1229,0.91803
110,4,1270,0.9
111,4,1290,0.90271
112,4,1318,0.90271
113,4,1386,0.9107099999999999
114,4,1387,0.91155
115,4,1433,0.93811
116,4,1464,0.9186
117,4,1465,0.9159299999999999
118,4,1489,0.91539
119,4,1490,0.91539
120,4,1491,0.91539
121,4,1492,0.91539
122,4,1493,0.91539
123,4,1494,0.91539
124,4,1540,0.90295
125,4,1838,0.9
126,4,1839,0.9
127,4,1868,0.91123
128,4,1882,0.92133
129,4,1889,0.90493
130,4,1890,0.90493
131,4,1935,0.9074099999999999
132,4,1936,0.9074099999999999
133,4,1983,0.9010900000000001
134,5,3,0.9
135,5,6,0.9
136,5,383,0.91783
137,5,1785,0.92059
138,5,1786,0.9151
139,6,3,0.9
140,6,5,0.9
141,6,383,0.91783
142,6,1785,0.92059
143,6,1786,0.9151
144,7,4,0.90271
145,7,9,0.90037
146,7,25,0.90222
147,7,115,0.9296800000000001
148,7,129,0.90222
149,7,169,0.91985
150,7,170,0.92136
151,7,446,0.9306300000000001
152,7,447,0.9296800000000001
153,7,466,0.9
154,7,498,0.935
155,7,738,0.90222
156,7,770,0.92226
157,7,889,0.90037
158,7,898,0.9123
159,7,1027,0.90222
160,7,1077,0.9134
161,7,1107,0.93072
162,7,1185,0.90605
163,7,1186,0.90222
164,7,1210,0.9036000000000001
165,7,1228,0.92118
166,7,1229,0.92118
167,7,1270,0.90271
168,7,1290,0.9
169,7,1318,0.9
170,7,1386,0.9201499999999999
171,7,1387,0.92136
172,7,1433,0.95004
173,7,1464,0.9195899999999999
174,7,1465,0.9210299999999999
175,7,1489,0.9191
176,7,1490,0.9191
177,7,1491,0.9191
178,7,1492,0.9191
179,7,1493,0.9191
180,7,1494,0.9191
181,7,1540,0.90605
182,7,1838,0.90271
183,7,1839,0.90271
184,7,1868,0.9200999999999999
185,7,1882,0.93077
186,7,1889,0.90037
187,7,1890,0.90037
188,7,1935,0.9105599999999999
189,7,1936,0.9105599999999999
190,7,1983,0.90037
191,8,1860,0.90018
192,8,1861,0.90018
193,9,4,0.90493
194,9,7,0.90037
195,9,25,0.90342
196,9,115,0.93157
197,9,129,0.90342
198,9,169,0.9222699999999999
199,9,170,0.9244399999999999
200,9,446,0.93315
201,9,447,0.93157
202,9,466,0.90037
203,9,498,0.93282
204,9,738,0.90342
205,9,770,0.92531
206,9,889,0.9
207,9,898,0.91482
208,9,1027,0.90342
209,9,1077,0.9133100000000001
210,9,1107,0.93332
211,9,1185,0.90772
212,9,1186,0.90342
213,9,1210,0.90217
214,9,1228,0.92156
215,9,1229,0.92156
216,9,1270,0.90493
217,9,1290,0.90037
218,9,1318,0.90037
219,9,1386,0.92304
220,9,1387,0.9244399999999999
221,9,1433,0.95363
222,9,1464,0.92158
223,9,1465,0.92404
224,9,1489,0.91984
225,9,1490,0.91984
226,9,1491,0.91984
227,9,1492,0.91984
228,9,1493,0.91984
229,9,1494,0.91984
230,9,1540,0.90772
231,9,1838,0.90493
232,9,1839,0.90493
233,9,1868,0.9227
234,9,1882,0.93366
235,9,1889,0.9
236,9,1890,0.9
237,9,1935,0.91094
238,9,1936,0.91094
239,9,1983,0.90145
240,10,80,0.90037
241,10,452,0.90368
242,10,453,0.90368
243,10,875,0.92944
244,10,876,0.935
245,10,879,0.90271
246,10,880,0.93198
247,10,881,0.92971
248,10,965,0.90222
249,10,966,0.90222
250,10,1923,0.9036000000000001
251,10,1924,0.9036000000000001
252,10,1925,0.9036000000000001
253,10,1926,0.9036000000000001
254,10,1927,0.9036000000000001
255,10,1929,0.9036000000000001
256,10,1930,0.9036000000000001
257,10,1934,0.9036000000000001
258,11,12,0.9010900000000001
259,11,1577,0.91803
260,12,11,0.9010900000000001
261,12,1577,0.91995
262,13,28,0.91642
263,13,66,0.93343
264,13,67,0.93343
265,13,206,0.93428
266,13,218,0.90819
267,13,219,0.93254
268,13,220,0.94803
269,13,221,0.93566
270,13,222,0.92686
271,13,223,0.9336
272,13,245,0.93325
273,13,246,0.93566
274,13,247,0.93277
275,13,372,0.90819
276,13,405,0.93254
277,13,406,0.93624
278,13,408,0.93343
279,13,409,0.9336
280,13,410,0.92686
281,13,412,0.90819
282,13,422,0.93566
283,13,424,0.93508
284,13,459,0.9056000000000001
285,13,562,0.91642
286,13,563,0.91642
287,13,564,0.91642
288,13,565,0.91642
289,13,566,0.91642
290,13,567,0.91642
291,13,569,0.9
292,13,671,0.94075
293,13,746,0.91611
294,13,907,0.93428
295,13,908,0.93428
296,13,963,0.90222
297,13,964,0.90222
298,13,983,0.94803
299,13,999,0.94803
300,13,1094,0.91642
301,13,1095,0.91642
302,13,1096,0.91642
303,13,1114,0.90727
304,13,1201,0.93325
305,13,1206,0.94803
306,13,1412,0.9089
307,13,1610,0.90222
308,13,1914,0.96139
309,13,1984,0.91611
310,13,1985,0.90727
311,13,1986,0.91611
312,18,19,0.90125
313,18,20,0.90147
314,18,21,0.90212
315,19,18,0.90125
316,19,20,0.90018
317,19,21,0.90069
318,20,18,0.90147
319,20,19,0.90018
320,20,21,0.90057
321,21,18,0.90212
322,21,19,0.90069
323,21,20,0.90057
324,24,1362,0.90037
325,25,4,0.9025
326,25,7,0.90222
327,25,9,0.90342
328,25,115,0.93353
329,25,129,0.9
330,25,169,0.92414
331,25,170,0.92446
332,25,446,0.93335
333,25,447,0.93353
334,25,466,0.90222
335,25,498,0.94803
336,25,738,0.9
337,25,770,0.92686
338,25,889,0.90342
339,25,898,0.91611
340,25,1027,0.9
341,25,1077,0.9128700000000001
342,25,1107,0.9336
343,25,1185,0.90376
344,25,1186,0.9
345,25,1210,0.90727
346,25,1228,0.92023
347,25,1229,0.92023
348,25,1270,0.9025
349,25,1290,0.90222
350,25,1318,0.90222
351,25,1386,0.9228099999999999
352,25,1387,0.92446
353,25,1433,0.9545
354,25,1464,0.92868
355,25,1465,0.9301299999999999
356,25,1489,0.9204600000000001
357,25,1490,0.9204600000000001
358,25,1491,0.9204600000000001
359,25,1492,0.9204600000000001
360,25,1493,0.9204600000000001
361,25,1494,0.9204600000000001
362,25,1540,0.90376
363,25,1838,0.9025
364,25,1839,0.9025
